md,x,y,z
10042.0,2129445.1651098584,17458306.646987807,7751.259765999999
10071.0,2129414.6532978583,17458303.825465407,7778.719727
10103.0,2129374.528627939,17458300.118116207,7808.259765999999
10134.0,2129329.121802339,17458296.44357541,7835.969727
10165.0,2129278.334399139,17458293.162735406,7862.799805000001
10196.0,2129222.986625058,17458290.570871808,7888.7900389999995
10227.0,2129162.5863672197,17458288.667984605,7913.719727
10259.0,2129095.03387162,17458288.044625007,7938.2099610000005
10289.0,2129027.3173373006,17458288.897643406,7959.969727
10319.0,2128955.4341197773,17458290.669297006,7980.450194999999
10351.0,2128874.2005410623,17458293.65486141,8000.690430000001
10382.0,2128791.0312273777,17458297.32940221,8018.490234000001
10414.0,2128700.8081273776,17458301.39764381,8034.7900389999995
10446.0,2128606.5168153048,17458305.072184607,8048.7900389999995
10477.0,2128511.7005097773,17458307.86089861,8059.950194999999
10507.0,2128417.0154673774,17458310.354337007,8068.049805000001
10539.0,2128313.997111062,17458313.70079381,8074.110352
10570.0,2128213.14411899,17458317.80184381,8077.860352
10620.0,2128049.8566498538,17458325.938327007,8081.929688
10668.0,2127893.1309591434,17458335.944889005,8085.570312
10712.0,2127749.528526726,17458346.18110981,8088.769531
10803.0,2127452.2188223307,17458366.030191805,8094.440430000001
10895.0,2127151.4314373774,17458385.616806608,8099.200194999999
10987.0,2126850.676890352,17458405.00657101,8104.349609000001
11079.0,2126549.9878223306,17458423.05119101,8110.110352
11171.0,2126249.1021138835,17458442.080059726,8114.519531
11264.0,2125944.5745221176,17458459.960641008,8116.169921999999
11355.0,2125646.411566382,17458475.21655029,8116.299805000001
11448.0,2125341.589010696,17458486.56825341,8118.110352
11540.0,2125040.1125738835,17458492.178486526,8122.139648
11631.0,2124741.916980352,17458494.803155247,8126.490234000001
11723.0,2124440.3091819864,17458495.65618349,8130.240234000001
11815.0,2124138.537581122,17458496.77166909,8131.730469
11907.0,2123836.700301122,17458498.641744606,8131.4599610000005
12003.0,2123521.7725023306,17458499.00264029,8131.919921999999
12099.0,2123206.910385956,17458495.393709727,8134.309569999999
12196.0,2122888.8327051736,17458487.74935909,8135.969727
12292.0,2122574.036267935,17458478.005261008,8135.799805000001
12388.0,2122259.2065892247,17458469.343843408,8135.5400389999995
12485.0,2121941.096470778,17458459.599745326,8135.480469
12581.0,2121626.3328747475,17458448.182422128,8135.4599610000005
12677.0,2121311.5364375087,17458438.044626527,8135.610352
12773.0,2120996.7071590615,17458429.90814661,8136.0400389999995
12870.0,2120678.563398881,17458421.902893726,8136.269531
12966.0,2120363.701279225,17458413.569563407,8136.320312
13062.0,2120048.806321642,17458409.00919909,8136.570312
13159.0,2119730.564841642,17458407.073503487,8137.730469
13255.0,2119415.768401122,17458403.16930061,8140.490234000001
13351.0,2119101.1033254364,17458398.64174469,8144.389648
13448.0,2118783.1237680167,17458396.08268621,8148.2099610000005
13544.0,2118468.3930131947,17458395.06562909,8151.929688
13640.0,2118153.5637347475,17458394.77035349,8154.599609000001
13736.0,2117838.6687738835,17458394.573496524,8156.2099610000005
13833.0,2117520.4601350916,17458396.31234501,8157.019531
13929.0,2117205.5651775086,17458396.968516286,8158.580078000001
14025.0,2116890.7358990614,17458398.543316208,8161.230469
14122.0,2116572.5600981973,17458403.234920688,8162.7099610000005
14218.0,2116257.664340089,17458407.27035061,8163.950194999999
14314.0,2115942.7365380167,17458412.454077806,8164.490234000001
14411.0,2115624.594382167,17458419.704730928,8164.089844
14507.0,2115309.699421303,17458424.75722781,8164.839844
14603.0,2114994.836501122,17458425.54463597,8167.370117
14699.0,2114680.1706249113,17458424.42915037,8171.469727
14796.0,2114362.4225537195,17458421.87009189,8176.809569999999
14892.0,2114047.756677509,17458420.262473725,8180.75
14986.0,2113739.3897549114,17458418.884520926,8180.75
15085.0,2113414.6859190613,17458414.717860688,8178.549805000001
15181.0,2113099.856640614,17458410.64961909,8176.219727
15277.0,2112785.0593995694,17458408.943579007,8173.179688
15374.0,2112466.8836019863,17458408.385836206,8171.339844
15470.0,2112151.988641122,17458405.629930608,8172.509765999999
15566.0,2111837.159365956,17458400.971137807,8175.179688
15662.0,2111522.427807328,17458395.19685941,8178.2900389999995
15759.0,2111204.514729569,17458388.011816528,8182.019531
15855.0,2110889.980214911,17458379.87533661,8186.389648
15951.0,2110575.642744222,17458369.37664861,8191.410156
16048.0,2110258.189433539,17458355.072186206,8196.669922
16144.0,2109943.8519595694,17458339.32415421,8200.320312
16240.0,2109629.1860833587,17458326.463261407,8200.839844
16337.0,2109311.1416473277,17458315.702106208,8199.679688
16433.0,2108996.3780480167,17458305.170609806,8198.240234
16529.0,2108681.7137728557,17458292.440950606,8197.799805
16625.0,2108367.211298881,17458276.069559008,8199.290039
16722.0,2108049.6266266443,17458257.598426525,8201.990234
16818.0,2107735.3548350916,17458239.09449221,8204.919922
16914.0,2107420.919641303,17458221.804462127,8206.299805
17011.0,2107103.2676888807,17458202.644356526,8206.910156
17107.0,2106789.0295390612,17458181.97506781,8208.429688
17203.0,2106474.724105775,17458162.027554046,8209.75
17300.0,2106157.139433539,17458141.62073909,8210.25
17396.0,2105842.835601303,17458121.542001568,8211.120117
17492.0,2105528.432448197,17458103.825459007,8212.580078
17588.0,2105213.7008895692,17458092.539362844,8213.530273
17685.0,2104895.590771122,17458084.206025966,8214.980469
17781.0,2104580.859215775,17458075.314952847,8217.150391
17877.0,2104265.9322175086,17458072.55906037,8218.389648
17974.0,2103947.722774911,17458076.397636607,8218.209961
18070.0,2103632.7957766443,17458079.90813213,8217.509766
18166.0,2103317.8671773276,17458081.843840852,8216.25
18262.0,2103003.037898881,17458082.17192157,8213.580078
18358.0,2102688.17657975,17458078.56300085,8213.429688
18455.0,2102370.066461303,17458073.313637167,8215.870117
18551.0,2102055.137861986,17458069.081350286,8216.820312
18647.0,2101740.244505453,17458063.208669648,8217.200195
18744.0,2101422.131181625,17458055.269017167,8216.209961
18840.0,2101107.301903178,17458047.427812845,8214.80957
18932.0,2100805.695308881,17458046.870076608,8217.480469
19024.0,2100504.447553178,17458053.13649085,8222.969727
19116.0,2100202.94027975,17458059.89501469,8226.660156
19208.0,2099901.234361303,17458065.800510284,8228.610352
19301.0,2099596.1803226694,17458068.687665887,8229.969727
19392.0,2099297.6238826695,17458069.212587167,8230.030273
19484.0,2098995.78660267,17458069.60629781,8229.339844
19576.0,2098694.0166028556,17458069.50787589,8227.490234
19668.0,2098392.243404222,17458069.73753469,8226.219727
19760.0,2098090.4061242226,17458068.884509727,8226.549805
19852.0,2097788.6008816254,17458064.94751157,8226.990234
