md,x,y,z
9462.0,2124842.523234992,17482644.168227825,7231.339844
9556.0,2124839.997024281,17482642.691853106,7325.339844
9614.0,2124839.1111810766,17482641.707597826,7383.339844
9657.0,2124838.8159186,17482640.920196228,7426.339844
9689.0,2124836.9786055493,17482637.540937588,7458.309569999999
9721.0,2124833.336873149,17482626.320464786,7490.099609000001
9752.0,2124829.596715549,17482607.455634788,7520.530273
9784.0,2124825.003559234,17482581.044872787,7551.4599610000005
9816.0,2124819.491774281,17482547.67872343,7581.75
9848.0,2124813.9143069107,17482507.291592866,7611.230469
9879.0,2124809.1570987534,17482461.359832868,7638.839844
9911.0,2124805.5809929958,17482407.12755095,7666.2099610000005
9942.0,2124803.809313149,17482348.76140407,7691.589844
9972.0,2124803.1859929194,17482287.27846903,7715.009765999999
10004.0,2124802.2017310765,17482216.64198711,7738.679688
10035.0,2124799.2817867575,17482143.676089108,7760.25
10067.0,2124794.1308449917,17482064.214141026,7781.089844
10099.0,2124789.2095849914,17481981.24171711,7800.629883
10130.0,2124786.5521111535,17481898.302088473,7818.549805000001
10162.0,2124786.092796834,17481810.703670315,7836.190430000001
10194.0,2124788.12690123,17481721.76004542,7853.169921999999
10226.0,2124791.7358449153,17481632.160311583,7869.820312
10257.0,2124794.9510549917,17481544.332260873,7885.410156
10289.0,2124797.1164192343,17481451.517271027,7900.360352
10320.0,2124798.002262438,17481359.88343279,7913.799805000001
10352.0,2124797.477314915,17481263.886021584,7926.740234000001
10383.0,2124794.065264281,17481169.135345977,7937.950194999999
10415.0,2124786.716162996,17481069.299411025,7947.570312
10447.0,2124777.6282230727,17480968.183997683,7955.719727
10479.0,2124768.605913073,17480866.182593502,7962.75
10510.0,2124761.0928124385,17480766.379496478,7968.240234000001
10542.0,2124755.2857092344,17480662.507990528,7972.5
10574.0,2124750.364449234,17480558.210159108,7975.870117
10605.0,2124745.672874281,17480456.897803504,7978.120117
10723.0,2124730.4825686766,17480070.218050316,7981.519531
10815.0,2124721.000941077,17479768.577610873,7982.719727
10907.0,2124711.5193167576,17479466.871492296,7983.200194999999
10999.0,2124701.512744915,17479165.231256265,7982.799805000001
11090.0,2124695.5415931493,17478866.74009514,7981.849609000001
11182.0,2124691.8342767577,17478564.968497556,7980.559569999999
11274.0,2124688.1597031495,17478263.19689669,7978.9599610000005
11366.0,2124683.96023123,17477961.458140317,7977.030273
11460.0,2124677.496973149,17477653.223383076,7974.730469
11555.0,2124667.424820596,17477341.838743847,7972.080078000001
11649.0,2124657.7463524383,17477033.636427555,7970.440430000001
11744.0,2124655.0232486767,17476721.989468765,7971.099609000001
11838.0,2124655.8434586767,17476413.656187896,7972.830078000001
11933.0,2124653.940564915,17476102.00922911,7974.150390999999
12028.0,2124652.0376711534,17475790.362270318,7975.150390999999
12123.0,2124650.954987392,17475478.715311524,7976.230469
12217.0,2124648.5271986,17475170.31635152,7976.9599610000005
12312.0,2124651.2502531493,17474858.66938945,7977.049805000001
12406.0,2124658.763402996,17474550.368953075,7976.799805000001
12501.0,2124665.292294281,17474238.754832212,7976.549805000001
12596.0,2124670.4759755493,17473927.10787342,7976.549805000001
12691.0,2124674.544236834,17473615.46091463,7976.719727
12785.0,2124677.792284839,17473307.094792556,7976.059569999999
12880.0,2124680.2200769107,17472995.447833765,7975.309569999999
12973.0,2124679.170231077,17472690.329713766,7974.990234000001
13068.0,2124675.364446834,17472378.681954447,7974.0
13162.0,2124671.853974281,17472070.348673586,7972.269531
13257.0,2124667.785712996,17471758.734556,7971.030273
13352.0,2124660.961559234,17471447.153276343,7970.780273
13447.0,2124651.4471429195,17471135.6048379,7970.780273
13542.0,2124638.9471031493,17470824.187761005,7971.610352
